,Date,Num_times,DOW
0,2015-05-12,161,1
1,2015-05-01,196,4
2,2015-05-02,176,5
3,2015-05-03,130,6
4,2015-05-04,143,0
5,2015-05-05,151,1
6,2015-04-27,30,0
7,2015-05-06,167,2
8,2015-04-24,16,4
9,2015-04-22,9,2
10,2015-05-07,140,3
11,2015-05-08,151,4
12,2015-05-09,125,5
13,2015-05-10,144,6
14,2015-05-11,148,0
15,2015-04-12,5,6
16,2015-04-28,26,1
17,2015-04-26,11,6
18,2015-04-17,9,4
19,2015-02-01,18,6
20,2015-05-13,140,2
21,2015-05-14,147,3
22,2015-05-15,188,4
23,2015-05-16,167,5
24,2015-05-17,159,6
25,2015-01-01,50,3
26,2015-05-18,156,0
27,2015-05-19,149,1
28,2015-05-20,195,2
29,2015-04-19,7,6
30,2015-05-21,187,3
31,2015-05-22,161,4
32,2015-05-23,130,5
33,2015-04-20,19,0
34,2015-05-24,139,6
35,2015-05-25,140,0
36,2015-05-26,186,1
37,2015-05-27,148,2
38,2015-03-28,6,5
39,2015-05-28,145,3
40,2015-05-29,154,4
41,2015-05-30,164,5
42,2015-05-31,131,6
43,2015-06-01,173,0
44,2015-06-02,145,1
45,2015-06-03,147,2
46,2015-04-11,4,5
47,2015-06-04,152,3
48,2015-06-05,170,4
49,2015-06-06,143,5
50,2015-06-07,151,6
51,2015-06-08,144,0
52,2015-06-09,144,1
53,2015-06-10,174,2
54,2015-06-11,124,3
55,2015-04-30,65,3
56,2015-06-12,161,4
57,2015-06-13,154,5
58,2015-06-14,146,6
59,2015-06-15,160,0
60,2015-06-16,135,1
61,2015-06-17,156,2
62,2015-06-18,142,3
63,2015-03-20,4,4
64,2015-02-07,1,5
65,2015-06-19,138,4
66,2015-06-21,162,6
67,2015-06-20,135,5
68,2015-06-22,140,0
69,2015-06-23,164,1
70,2015-06-24,150,2
71,2015-06-25,183,3
72,2015-03-03,5,1
73,2015-06-26,155,4
74,2015-06-27,140,5
75,2015-06-28,142,6
76,2015-06-29,152,0
77,2015-06-30,133,1
78,2015-07-01,166,2
79,2015-07-02,165,3
80,2015-07-03,170,4
81,2015-07-04,153,5
82,2015-07-05,125,6
83,2015-07-06,155,0
84,2015-01-04,3,6
85,2015-07-07,162,1
86,2015-07-08,130,2
87,2015-07-09,134,3
88,2015-07-10,170,4
89,2015-07-11,155,5
90,2015-07-12,112,6
91,2015-07-13,125,0
92,2015-07-14,142,1
93,2015-07-15,155,2
94,2015-07-16,160,3
95,2015-07-17,179,4
96,2015-04-13,9,0
97,2015-07-18,151,5
98,2015-07-19,124,6
99,2015-07-20,147,0
100,2015-07-21,161,1
101,2015-07-22,162,2
102,2015-07-23,164,3
103,2015-07-24,187,4
104,2015-07-25,145,5
105,2015-07-26,164,6
106,2015-07-27,145,0
107,2015-07-28,157,1
108,2015-07-29,173,2
109,2015-07-30,161,3
110,2015-07-31,171,4
111,2015-08-01,158,5
112,2015-08-02,142,6
113,2015-08-03,150,0
114,2015-08-04,145,1
115,2015-08-05,136,2
116,2015-08-06,150,3
117,2015-08-07,182,4
118,2015-08-08,154,5
119,2015-08-09,140,6
120,2015-08-10,137,0
121,2015-08-11,116,1
122,2015-08-12,150,2
123,2015-08-13,129,3
124,2015-08-14,154,4
125,2015-08-15,135,5
126,2015-08-16,113,6
127,2015-08-17,147,0
128,2015-08-18,163,1
129,2015-08-19,114,2
130,2015-08-20,158,3
131,2015-08-21,158,4
132,2015-08-22,145,5
133,2015-08-23,144,6
134,2015-08-24,137,0
135,2015-04-01,31,2
136,2015-08-26,159,2
137,2015-08-25,153,1
138,2015-08-27,152,3
139,2015-08-28,177,4
140,2015-08-29,136,5
141,2015-08-30,131,6
142,2015-08-31,141,0
143,2015-09-01,145,1
144,2015-03-21,5,5
145,2015-09-02,148,2
146,2015-09-03,148,3
147,2015-09-04,146,4
148,2015-09-05,117,5
149,2015-09-06,126,6
150,2015-09-07,147,0
151,2015-09-08,161,1
152,2015-09-09,145,2
153,2015-09-10,128,3
154,2015-09-11,156,4
155,2015-09-12,182,5
156,2015-09-13,125,6
157,2015-09-14,141,0
158,2015-09-15,146,1
159,2015-02-08,1,6
160,2015-09-16,138,2
161,2015-09-17,146,3
162,2015-09-18,203,4
163,2015-09-19,133,5
164,2015-09-20,137,6
165,2015-09-21,142,0
166,2015-09-22,137,1
167,2015-09-23,150,2
168,2015-03-19,7,3
169,2015-09-24,153,3
170,2015-09-25,161,4
171,2015-09-26,158,5
172,2015-09-27,157,6
173,2015-09-28,156,0
174,2015-09-29,157,1
175,2015-09-30,172,2
176,2015-10-01,197,3
177,2015-10-02,160,4
178,2015-01-13,3,1
179,2015-10-03,177,5
180,2015-10-04,134,6
181,2015-10-05,153,0
182,2015-10-06,137,1
183,2015-10-07,175,2
184,2015-10-08,131,3
185,2015-10-09,152,4
186,2015-10-10,170,5
187,2015-10-11,137,6
188,2015-03-25,1,2
189,2015-03-27,4,4
190,2015-10-12,155,0
191,2015-10-13,154,1
192,2015-10-14,162,2
193,2015-10-15,168,3
194,2015-10-16,174,4
195,2015-10-17,175,5
196,2015-10-18,186,6
197,2015-10-19,158,0
198,2015-10-20,131,1
199,2015-10-21,164,2
200,2015-10-22,147,3
201,2015-10-23,141,4
202,2015-10-24,194,5
203,2015-10-25,174,6
204,2015-10-26,166,0
205,2015-10-27,146,1
206,2015-10-28,156,2
207,2015-10-29,189,3
208,2015-10-30,183,4
209,2015-10-31,232,5
210,2015-11-01,174,6
211,2015-11-02,163,0
212,2015-11-03,156,1
213,2015-11-04,148,2
214,2015-11-05,179,3
215,2015-11-06,169,4
216,2015-11-07,175,5
217,2015-11-08,124,6
218,2015-11-09,156,0
219,2015-11-10,143,1
220,2015-02-04,1,2
221,2015-11-11,147,2
222,2015-11-12,160,3
223,2015-11-13,131,4
224,2015-11-14,124,5
225,2015-11-15,145,6
226,2015-11-16,113,0
227,2015-11-17,171,1
228,2015-11-18,159,2
229,2015-11-19,171,3
230,2015-11-20,171,4
231,2015-11-21,215,5
232,2015-11-22,145,6
233,2015-11-23,173,0
234,2015-11-24,161,1
235,2015-11-25,181,2
236,2015-11-26,126,3
237,2015-11-27,177,4
238,2015-11-28,161,5
239,2015-11-29,138,6
240,2015-11-30,140,0
241,2015-12-01,188,1
242,2015-12-02,165,2
243,2015-12-03,164,3
244,2015-12-04,209,4
245,2015-12-05,166,5
246,2015-12-06,160,6
247,2015-12-07,140,0
248,2015-12-08,162,1
249,2015-12-09,146,2
250,2015-12-10,150,3
251,2015-12-11,157,4
252,2015-03-01,27,6
253,2015-12-12,178,5
254,2015-12-13,149,6
255,2015-12-14,174,0
256,2015-12-15,159,1
257,2015-12-16,156,2
258,2015-12-17,142,3
259,2015-12-18,187,4
260,2015-12-19,161,5
261,2015-12-20,129,6
262,2015-12-21,162,0
263,2015-12-22,152,1
264,2015-12-23,148,2
265,2015-12-24,152,3
266,2015-12-25,107,4
267,2015-12-26,136,5
268,2015-12-27,145,6
269,2015-12-28,134,0
270,2015-12-29,136,1
271,2015-12-30,166,2
272,2015-12-31,144,3
273,2015-02-23,1,0
274,2015-04-21,8,1
275,2015-04-03,7,4
276,2015-04-18,4,5
277,2015-02-05,3,3
278,2015-01-08,1,3
279,2015-02-28,2,5
280,2015-03-09,2,0
281,2015-04-23,8,3
282,2015-02-15,7,6
283,2015-01-07,2,2
284,2015-03-16,2,0
285,2015-03-29,2,6
286,2015-04-29,29,2
287,2015-03-18,4,2
288,2015-04-15,29,2
289,2015-04-09,2,3
290,2015-04-25,7,5
291,2015-03-06,5,4
292,2015-02-02,4,0
293,2015-03-08,1,6
294,2015-02-22,5,6
295,2015-01-02,1,4
296,2015-01-27,1,1
297,2015-04-04,7,5
298,2015-03-26,5,3
299,2015-01-16,3,4
300,2015-04-16,6,3
301,2015-02-06,3,4
302,2015-04-05,4,6
303,2015-03-04,5,2
304,2015-01-12,2,0
305,2015-04-07,10,1
306,2015-03-12,7,3
307,2015-03-23,1,0
308,2015-02-26,8,3
309,2015-03-31,4,1
310,2015-04-06,11,0
311,2015-02-18,2,2
312,2015-01-15,4,3
313,2015-03-17,3,1
314,2015-04-10,9,4
315,2015-01-30,3,4
316,2015-01-19,6,0
317,2015-03-10,5,1
318,2015-04-08,2,2
319,2015-04-14,8,1
320,2015-02-14,2,5
321,2015-03-13,1,4
322,2015-02-24,2,1
323,2015-02-11,2,2
324,2015-02-16,1,0
325,2015-03-15,5,6
326,2015-03-02,4,0
327,2015-02-20,5,4
328,2015-01-24,2,5
329,2015-03-11,2,2
330,2015-01-23,1,4
331,2015-02-25,3,2
332,2015-03-24,1,1
333,2015-01-05,3,0
334,2015-01-18,1,6
335,2015-01-06,3,1
336,2015-02-21,2,5
337,2015-02-19,1,3
338,2015-02-13,2,4
339,2015-02-27,2,4
340,2016-01-01,210,4
341,2016-01-02,136,5
342,2016-01-03,83,6
343,2016-01-04,115,0
344,2016-01-05,140,1
345,2016-01-06,146,2
346,2016-01-07,126,3
347,2016-01-08,165,4
348,2016-01-09,147,5
349,2016-01-10,154,6
350,2016-01-11,169,0
351,2016-01-12,149,1
352,2016-01-13,168,2
353,2016-01-14,139,3
354,2016-01-15,161,4
355,2016-01-16,182,5
356,2016-01-17,109,6
357,2016-01-18,158,0
358,2016-01-19,160,1
359,2016-01-20,179,2
360,2015-01-20,2,1
361,2016-01-21,173,3
362,2016-01-22,171,4
363,2016-01-23,154,5
364,2016-01-24,154,6
365,2016-01-25,153,0
366,2016-01-26,170,1
367,2016-01-27,158,2
368,2016-01-28,167,3
369,2016-01-29,189,4
370,2016-01-30,145,5
371,2016-01-31,152,6
372,2016-02-01,170,0
373,2016-02-02,139,1
374,2016-02-03,142,2
375,2016-02-04,140,3
376,2016-02-05,171,4
377,2016-02-06,157,5
378,2016-02-07,143,6
379,2016-02-08,159,0
380,2016-02-09,148,1
381,2016-02-10,156,2
